City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,mount isa,-20.7333,139.5,35.87,38,79,4.12,AU,1737591861
128,amga,60.8953,131.9608,-12.47,92,100,2.5,RU,1737591862
129,fale old settlement,-9.3852,-171.2468,27.94,76,9,6.24,TK,1737591864
130,tromso,69.6496,18.957,-5.99,79,100,9.26,NO,1737591865
131,gizo,-8.103,156.8419,29.81,71,98,5.13,SB,1737591866
132,guarapari,-20.6667,-40.4975,24.82,92,0,4.35,BR,1737591867
133,atafu village,-8.5421,-172.5159,28.43,71,27,6.92,TK,1737591868
134,kourou,5.1552,-52.6478,23.76,94,100,3.1,GF,1737591869
135,makarov,48.6333,142.8,-7.91,91,33,0.54,RU,1737591870
136,touros,-5.1989,-35.4608,26.74,71,1,5.39,BR,1737591873
137,atar,20.5169,-13.0499,19.04,14,74,1.64,MR,1737591874
138,thompson,55.7435,-97.8558,-20.91,65,75,5.66,CA,1737591875
139,korsakov,46.6328,142.7813,-7.09,85,100,1.43,RU,1737591876
140,kodiak,57.79,-152.4072,4.73,60,0,4.63,US,1737591877
141,jinxiang,27.4327,120.6062,13.37,87,100,3.04,CN,1737591878
142,nuuk,64.1835,-51.7216,-6.66,79,100,1.03,GL,1737591879
143,rovaniemi,66.5,25.7167,-16.33,92,0,2.06,FI,1737591881
144,nogliki,51.8333,143.1667,-15.03,90,0,2.86,RU,1737591882
145,tofol,5.3248,163.0078,28.88,79,75,6.69,FM,1737591883
146,bhamo,24.2667,97.2333,13.94,74,8,0.36,MM,1737591884
147,page,36.9147,-111.4558,3.95,21,0,1.54,US,1737591837
148,praia da vitoria,38.7333,-27.0667,11.14,87,20,3.35,PT,1737591886
149,aykhal,66.0,111.5,-17.92,98,100,1.98,RU,1737591881
150,pala,9.3642,14.9046,23.96,16,12,3.26,TD,1737591888
151,bardai,11.65,7.2333,19.39,26,33,4.27,NG,1737591889
152,seminole,28.7086,-81.2081,5.79,98,100,6.17,US,1737591890
153,shumerlya,55.5005,46.4129,-9.86,83,100,5.21,RU,1737591892
154,iqaluit,63.7506,-68.5145,-14.15,72,75,7.72,CA,1737591893
155,essaouira,31.5125,-9.77,15.72,82,18,2.57,MA,1737591894
156,kapa'a,22.0752,-159.319,25.18,62,20,6.17,US,1737591895
157,el granada,37.5027,-122.4694,17.4,60,0,5.14,US,1737591896
158,bandon,51.7469,-8.7425,4.77,94,55,3.57,IE,1737591897
159,rovnoye,50.7765,46.0509,-9.56,62,98,4.86,RU,1737591899
160,nicoya,10.1483,-85.452,25.36,70,1,7.04,CR,1737591900
161,whitehorse,60.7161,-135.0538,-3.57,79,40,1.54,CA,1737591901
162,neelankarai,12.9455,80.2575,23.39,93,40,1.03,IN,1737591902
163,puerto francisco de orellana,-0.4667,-76.9667,25.21,63,30,0.76,EC,1737591903
164,tazacorte,28.629,-17.9293,15.54,67,0,3.6,ES,1737591904
165,mizdah,31.4451,12.9801,11.64,31,41,2.07,LY,1737591905
166,westport,41.1415,-73.3579,-8.13,54,0,2.06,US,1737591906
167,kartaly,53.0522,60.6467,-20.36,83,5,4.91,RU,1737591907
168,robit,12.0167,39.6333,15.22,56,14,0.78,ET,1737591909
169,cannonvale,-20.2833,148.7,29.66,67,61,3.39,AU,1737591910
170,moyale,3.5167,39.0584,20.38,46,9,3.2,KE,1737591911
171,badger,64.8,-147.5333,-7.79,90,75,0.0,US,1737591912
172,christchurch,-43.5333,172.6333,23.3,73,31,6.69,NZ,1737591323
173,mount gambier,-37.8333,140.7667,16.27,58,100,3.49,AU,1737591858
174,olonkinbyen,70.9221,-8.7187,-1.97,89,96,8.36,SJ,1737591915
175,malanje,-9.5402,16.341,16.73,97,92,1.79,AO,1737591917
176,dudinka,69.4058,86.1778,-32.82,85,6,8.64,RU,1737591919
177,margaret river,-33.95,115.0667,23.22,59,100,4.13,AU,1737591920
178,kingston,17.997,-76.7936,27.53,57,20,6.69,JM,1737591844
179,hermanus,-34.4187,19.2345,20.45,74,100,0.38,ZA,1737591922
180,east london,-33.0153,27.9116,23.23,88,86,7.89,ZA,1737591923
181,toliara,-23.35,43.6667,25.52,79,58,2.26,MG,1737591806
182,natal,-5.795,-35.2094,27.12,78,20,4.63,BR,1737591889
183,salekhard,66.53,66.6019,-30.2,91,28,2.64,RU,1737591855
184,aasiaat,68.7098,-52.8699,-6.86,89,90,5.17,GL,1737591928
185,dapa,9.7594,126.0531,26.93,83,99,3.79,PH,1737591929
186,razole,16.4833,81.8333,16.85,99,7,1.3,IN,1737591930
187,chernyshevskiy,63.0128,112.4714,-12.82,99,95,2.43,RU,1737591931
188,homosassa springs,28.8036,-82.5759,5.13,78,100,2.57,US,1737591932
189,newman,37.3138,-121.0208,15.58,42,0,0.89,US,1737591933
190,colonia,50.9333,6.95,4.58,94,75,4.12,DE,1737591934
191,molochnyy,68.8539,33.0205,-21.69,77,0,0.0,RU,1737591935
192,lamu,-2.2717,40.902,24.14,90,100,3.7,KE,1737591936
193,ares,-6.1944,-35.1603,27.34,64,63,4.09,BR,1737591937
194,charters towers,-20.1,146.2667,31.82,48,91,3.78,AU,1737591939
195,new carlisle,39.9362,-84.0255,-9.14,57,0,4.12,US,1737591940
196,bonthe,7.5264,-12.505,25.39,77,24,3.5,SL,1737591941
197,nar'yan-mar,67.6713,53.087,-19.41,96,98,4.55,RU,1737591777
